property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
flat,189.0,3.0,3,3.0,Moderately Old,2178.0,0,0,medium,0.0,high floor,1.69
flat,209.0,4.0,4,4.0,Relatively New,3160.0,1,0,high,1.0,mid floor,4.5
house,168.0,5.0,5,4.0,new property,4770.0,1,1,high,0.0,high floor,8.5
flat,132.0,2.0,2,1.0,Relatively New,577.0,0,0,high,2.0,high floor,0.4
flat,126.0,4.0,4,3.0,Moderately Old,2233.0,0,0,medium,1.0,high floor,0.9
flat,194.0,5.0,7,4.0,Moderately Old,5778.0,1,0,medium,2.0,mid floor,5.0
flat,220.0,3.0,3,2.0,Under Construction,1513.0,0,0,medium,2.0,mid floor,1.9
flat,230.0,3.0,3,3.0,Relatively New,1650.0,0,0,high,0.0,high floor,1.24
flat,250.0,3.0,3,3.0,Under Construction,588.0,0,0,medium,2.0,mid floor,1.4
flat,242.0,2.0,2,2.0,new property,809.0,0,0,medium,2.0,low floor,0.46
flat,57.0,2.0,2,2.0,Under Construction,1130.0,0,0,medium,0.0,high floor,1.38
flat,127.0,3.0,4,4.0,Moderately Old,1757.0,1,0,medium,0.0,low floor,1.82
flat,262.0,2.0,2,3.0,new property,661.0,0,0,medium,1.0,low floor,0.4
flat,126.0,3.0,3,4.0,Moderately Old,1900.0,1,0,medium,2.0,high floor,0.86
flat,214.0,3.0,3,2.0,Relatively New,2167.0,0,0,medium,2.0,high floor,1.65
flat,200.0,3.0,3,3.0,Under Construction,2550.0,0,0,medium,1.0,high floor,3.78
flat,127.0,3.0,3,3.0,Relatively New,1315.0,1,0,medium,0.0,high floor,1.42
flat,134.0,3.0,3,4.0,Relatively New,1466.0,0,1,medium,2.0,high floor,1.4
flat,242.0,2.0,2,0.0,Relatively New,758.0,0,0,medium,1.0,mid floor,0.27
flat,232.0,2.0,2,1.0,new property,557.0,1,0,medium,2.0,mid floor,0.42
flat,245.0,2.0,2,1.0,Relatively New,611.0,0,0,medium,2.0,high floor,0.26
flat,242.0,3.0,2,2.0,Relatively New,761.0,0,0,medium,1.0,high floor,0.4
flat,198.0,4.0,4,3.0,Relatively New,2000.0,1,0,high,1.0,high floor,2.05
flat,240.0,4.0,4,2.0,Moderately Old,1584.0,0,1,low,2.0,mid floor,0.87
flat,232.0,3.0,4,3.0,Relatively New,1715.0,1,0,medium,2.0,high floor,1.65
house,85.0,3.0,3,0.0,new property,567.0,0,0,medium,1.0,mid floor,0.42
flat,207.0,4.0,4,3.0,Relatively New,1750.0,1,0,high,2.0,high floor,2.75
flat,246.0,3.0,3,2.0,old property,1438.0,0,0,high,1.0,mid floor,0.88
flat,239.0,3.0,3,4.0,Relatively New,1700.0,0,0,medium,2.0,high floor,1.4
flat,207.0,3.0,3,3.0,Moderately Old,3043.0,0,0,low,1.0,high floor,5.9
flat,226.0,2.0,2,3.0,Relatively New,955.0,0,0,medium,2.0,mid floor,0.82
flat,226.0,4.0,5,4.0,Relatively New,3070.0,1,0,high,0.0,high floor,3.3
flat,240.0,3.0,3,1.0,new property,711.0,0,0,low,2.0,low floor,0.5
flat,212.0,4.0,5,4.0,Relatively New,2200.0,1,0,medium,0.0,high floor,1.8
house,147.0,3.0,3,2.0,old property,200.0,0,0,high,1.0,mid floor,4.1
flat,293.0,4.0,5,3.0,Relatively New,3182.0,1,0,high,1.0,low floor,4.85
flat,221.0,3.0,3,3.0,new property,1600.0,1,0,high,1.0,mid floor,1.79
flat,245.0,3.0,5,3.0,Relatively New,1790.0,1,0,medium,1.0,high floor,1.13
flat,226.0,3.0,4,4.0,Relatively New,1900.0,1,0,low,2.0,low floor,2.29
flat,262.0,1.0,1,1.0,new property,438.0,0,0,medium,1.0,high floor,0.26
flat,242.0,2.0,2,2.0,Relatively New,507.0,0,0,medium,2.0,low floor,0.29
house,125.0,4.0,3,2.0,Moderately Old,1284.0,0,0,medium,1.0,high floor,1.85
flat,104.0,2.0,2,3.0,old property,1573.0,0,0,high,2.0,high floor,0.95
flat,134.0,3.0,3,1.0,new property,2519.0,1,0,medium,1.0,high floor,1.5
flat,137.0,4.0,4,3.0,new property,3350.0,0,0,medium,2.0,low floor,4.0
flat,262.0,2.0,2,2.0,Relatively New,789.0,0,0,low,1.0,high floor,0.45
flat,228.0,1.0,1,0.0,Relatively New,650.0,0,0,medium,1.0,high floor,0.62
flat,238.0,3.0,3,4.0,Relatively New,1747.0,1,0,medium,2.0,high floor,1.15
flat,229.0,3.0,3,2.0,Relatively New,1570.0,0,0,high,2.0,high floor,1.4
house,199.0,5.0,4,4.0,Moderately Old,1548.0,0,1,high,2.0,mid floor,3.15
flat,216.0,3.0,3,3.0,Moderately Old,1466.0,0,0,medium,2.0,mid floor,0.98
flat,127.0,3.0,3,4.0,Relatively New,1465.0,0,0,medium,1.0,mid floor,1.75
flat,207.0,3.0,3,3.0,Relatively New,3245.0,1,0,high,0.0,mid floor,5.0
flat,207.0,3.0,3,3.0,Relatively New,1469.0,1,0,medium,1.0,high floor,2.55
flat,250.0,3.0,3,3.0,Under Construction,2218.0,1,0,medium,1.0,mid floor,1.65
flat,131.0,4.0,6,4.0,Relatively New,2131.0,1,0,medium,2.0,high floor,2.1
flat,246.0,3.0,3,2.0,Moderately Old,1403.0,0,0,medium,1.0,high floor,0.95
flat,134.0,3.0,4,3.0,Relatively New,1860.0,1,0,medium,0.0,low floor,2.2
flat,188.0,3.0,3,1.0,Relatively New,1611.0,0,0,medium,2.0,mid floor,1.38
house,35.0,5.0,5,3.0,Moderately Old,6400.0,1,0,high,2.0,mid floor,15.0
flat,130.0,3.0,2,1.0,Moderately Old,833.0,0,0,medium,1.0,mid floor,0.42
flat,203.0,3.0,3,2.0,new property,1811.0,0,0,medium,1.0,high floor,2.55
flat,134.0,3.0,4,4.0,new property,2339.0,1,0,medium,2.0,high floor,2.3
flat,207.0,4.0,3,2.0,Relatively New,3150.0,1,0,medium,1.0,mid floor,3.2
house,109.0,4.0,3,0.0,Relatively New,2504.0,0,0,medium,1.0,mid floor,2.1
house,280.0,2.0,6,3.0,Moderately Old,1467.0,0,0,medium,1.0,high floor,3.75
flat,141.0,4.0,4,4.0,Under Construction,2886.0,1,0,low,2.0,low floor,2.75
flat,250.0,3.0,3,4.0,new property,1619.0,0,0,medium,1.0,high floor,2.0
flat,228.0,3.0,3,3.0,Moderately Old,1677.0,0,0,medium,1.0,low floor,1.85
flat,45.0,3.0,3,2.0,Under Construction,1267.0,0,0,medium,1.0,high floor,1.3
flat,238.0,3.0,3,2.0,Relatively New,1578.0,0,0,medium,1.0,low floor,1.23
flat,207.0,2.0,2,3.0,new property,1297.0,0,0,medium,1.0,high floor,2.65
house,237.0,2.0,3,0.0,Moderately Old,900.0,0,0,medium,1.0,high floor,1.65
flat,38.0,3.0,3,4.0,Moderately Old,2450.0,1,0,high,2.0,mid floor,3.8
flat,207.0,4.0,4,4.0,Relatively New,1787.0,1,0,high,0.0,mid floor,2.85
flat,205.0,4.0,4,0.0,new property,3950.0,0,0,medium,2.0,high floor,7.8
flat,104.0,3.0,4,4.0,Moderately Old,1738.0,1,0,medium,2.0,high floor,1.5
house,220.0,4.0,4,0.0,Under Construction,3111.0,0,0,medium,1.0,low floor,1.75
flat,203.0,3.0,3,3.0,Under Construction,1721.0,0,0,medium,1.0,mid floor,2.17
flat,127.0,3.0,3,3.0,Relatively New,1315.0,1,0,medium,2.0,high floor,1.35
flat,131.0,3.0,4,4.0,Relatively New,1345.0,1,0,medium,0.0,high floor,1.05
flat,87.0,4.0,4,0.0,Relatively New,3250.0,0,0,medium,1.0,high floor,4.26
